Type	File	Stars	L1	S1	L2	S2	L3	S3	L4	S4	L5	S5
regular	49_8_R7ME8D4EF5K14	5	regular	three	regular	five	regular	five	regular	five	both	two
regular	11_2_R25N65BFSL0MAI	5	regular	five	regular	five	ironic	five	regular	five	regular	four
regular	276426_8_R18CQC8KFXQIUY	5	both	four	sarcastic	three	regular	four	regular	four	regular	five
ironic	4_12_R33HMUU129WA4T	1	both	one	both	one	both	three	ironic	one	both	one
regular	33_5_R2Q010MTO69VHH	5	regular	four	ironic	three	regular	four	ironic	five	regular	four
regular	32_18_R47HCEMAYKRKL	5	regular	five	regular	four	regular	five	regular	five	regular	five
ironic	22_1_R1DT0VSKF8VRBC	5	sarcastic	five	sarcastic	five	sarcastic	one	both	four	sarcastic	five
regular	4_8_R3BHZEEVCCS1ER	5	regular	five	regular	four	regular	four	regular	five	regular	five
regular	15_6_R18NVPQJVH7PI0	5	regular	five	regular	five	regular	five	sarcastic	five	regular	four
regular	16_17_R2CIG23G6J50SN	3	regular	three	regular	two	regular	three	regular	three	regular	four
regular	45_2_RHQQSK83ZPYKK	2	regular	three	regular	three	regular	two	regular	one	regular	three
regular	1_10_R1CQ5XM4QRKTM4	4	regular	three	regular	three	regular	four	regular	four	regular	five
regular	30_19_R3M41KXKU4EWB5	5	regular	five	ironic	five	regular	five	both	three	regular	five
ironic	21_10_R3I6Q94VABO389	1	sarcastic	two	both	two	ironic	two	both	two	sarcastic	one
ironic	35_19_RK6ZNXRFKB6AZ	2	regular	two			both	three	both	two	regular	two
regular	49_16_R231JCNDBU3F53	5	regular	five	regular	three	regular	five	regular	five	regular	five
ironic	276423_1_R22I36BX67X45Y	1	sarcastic	one	both	one	regular	two	regular	three	sarcastic	four
ironic	16_12_R1A2M9NNUVM22I	1	both	one	sarcastic	one	sarcastic	one	both	one	sarcastic	three
regular	4_19_R20MBLYYOYQ4TE	3	both	three	regular	three	regular	three	regular	three	regular	three
regular	42_13_R2WFA5PWCDPZC1	4	regular	four	regular	three	regular	three	regular	four	sarcastic	four
regular	33_11_R432NZW097LLE	5	regular	five	regular	three	regular	four	regular	five	regular	five
ironic	42_3_RF1RV5NC65CPR	5	both	five	regular	four	regular	five	sarcastic	two	sarcastic	five
regular	37_19_R14J3QF1BOUEAP	5	regular	five	regular	five	regular	four	regular	five	regular	four
regular	45_6_R2TTOM9FDUFZLH	5	regular	five	sarcastic	three	regular	four	regular	five	regular	five
regular	46_17_R37L1E88I4SUZU	5	regular	five	regular	four	regular	five	regular	five	regular	five
regular	39_9_R21ODR3RUTDCQ	5	regular	four	regular	five	regular	three	regular	four	regular	three
ironic	23_2_R418BR8JCQDL5	1	regular	two	sarcastic	one	sarcastic	one	sarcastic	one	both	one
regular	50_8_R3RX509KPK47SZ	5	regular	four	regular	four	regular	three	regular	five	regular	five
regular	38_1_R3I0ETBAL2JX1M	5	ironic	three	regular	four	regular	four	regular	four	sarcastic	five
regular	2_14_R3OSJ2J8B34M1K	4	regular	four	regular	four	regular	two	regular	five	regular	five
ironic	22_5_R2945F560EYSVN	1	both	one	regular	two	both	two	regular	two	both	one
regular	25_7_R3CAZ48CVXVUQ5	5	regular	four	both	five	regular	four	regular	five	regular	four
ironic	28_2_R1O8P42N198WAN	1	both	one	regular	one	regular	one	ironic	one	both	one
ironic	1_13_R3JBEPN242VR6U	1	sarcastic	one	ironic	two	regular	three	both	one	both	one
regular	26_16_RKVORQRMQQWPS	5	both	five	regular	five	regular	five	regular	five	regular	four
regular	51_18_R3SU4CH5XHE2P1	5	regular	five	regular	four	regular	three	regular	four	regular	five
regular	45_18_R3F0CVF3B46DW6	5	regular	five	regular	five	regular	five	regular	five	regular	five
regular	17_4_R370T0A8KEWT2N	2	regular	three	regular	three	regular	three	regular	three	regular	two
regular	276427_3_R1FW9J7CM7SSF9	5	sarcastic	three	regular	five	regular	four	regular	five	regular	five
ironic	26_1_R183KYZI822C61	1	both	one	sarcastic	one	both	four	regular	two	regular	two
regular	28_5_R29UD1SZJMHWBT	4	regular	five	regular	two	ironic	five	regular	four	regular	four
regular	12_16_R3PUVLAQNCCCGP	4	regular	four	regular	three	regular	five	ironic	three	regular	four
regular	3_17_R294QV27UQQ5Y8	5	both	four	regular	five	regular	four	regular	five	regular	five
ironic	46_5_R2TG3OZ8XLMUCA	5	regular	five	regular	four	both	five	sarcastic	four	both	three
ironic	5_12_RAXJO3OXS1FP5	1	sarcastic	one	both	one	both	one	both	one	sarcastic	two
ironic	39_13_R32WCS1MAW89SQ	5	sarcastic	three	regular	five	ironic	one			sarcastic	five
ironic	16_15_R153SCKXPQPAR5	1	regular	one	both	one	regular	one	both	one	both	one
regular	42_7_R3MS0IKFNMQMWS	5	regular	three	regular	five	regular	five	regular	four	regular	four
regular	21_7_R3A91BPDWZIN0Z	5	regular	five	regular	five	ironic	five	regular	five	regular	four
regular	15_5_R3NO1KOXXC8H5X	5	regular	five	regular	five	regular	four	regular	five	regular	five
regular	39_3_RTCFT6J12QKLW	5	regular	five	regular	five	regular	five	regular	five	regular	five
regular	8_3_R3H6IJTLI7TNGF	5	regular	five	regular	four	regular	five	regular	three	regular	five
regular	18_7_R34LXBIHMBM1YY	5	regular	five	regular	four	regular	four	regular	four	regular	four
ironic	48_6_R1U7J1AHX5G1Z0	1	regular	one	sarcastic	three	sarcastic	two	both	two	both	two
ironic	20_10_RMX00C97R9MOS	4	ironic	five	both	one	both	four	sarcastic	one	sarcastic	two
ironic	35_8_RNQ62S4GP251W	5	ironic	five	both	five	ironic	five	both	five	sarcastic	five
ironic	24_5_R1XDMNRFJMN45Y	1	sarcastic	one	sarcastic	one	sarcastic	two	sarcastic	one	regular	one
regular	33_18_R43RNPK0C7589	1	regular	two	regular	three	regular	three	both	four	regular	one
regular	276423_8_RMW5NHC2TTCE2	5	ironic	three	regular	four	regular	three	regular	four	regular	four
ironic	38_12_R2Q2Z1IS0WGMUW	2			both	two	sarcastic	one	both	two	ironic	two
regular	36_5_R2B6TTTKEHTZL7	5	regular	five	regular	four	sarcastic	three	regular	five	regular	five
ironic	276425_7_R3FE4XDZAXDT31	1	regular	two	ironic	one	both	one	ironic	one		
regular	30_12_R1G4HHSGL5KG0Z	5	regular	five	regular	five	regular	five	regular	five	regular	five
regular	11_13_R37U1HO6SG9UHV	5	regular	five	regular	five	sarcastic	three	regular	five	regular	five
regular	4_2_RE8027REL8ZWB	5	regular	three	regular	two	regular	five	regular	five	regular	five
regular	50_7_R3I99TH8FX33K3	4	regular	four	regular	four	regular	five	regular	five	regular	five
ironic	3_14_R19JOCLZ482JMA	2	sarcastic	two	both	one	regular	three	ironic	two	sarcastic	two
regular	33_20_R1SXKNA6KAIJQ3	5	regular	five	regular	four	regular	five	regular	five		
regular	18_9_R1E9M9EJ0DN6XY	5	regular	five	both	four	regular	five	regular	four	regular	five
ironic	46_6_R1ZBWIKUHVHG1G	1	both	one	regular	one	both	five	sarcastic	one	sarcastic	one
regular	16_15_R3VMNN7HWTP4QX	5	regular	four	regular	five	regular	three	regular	four	sarcastic	two
regular	10_1_R17D4AEH9CJ1LZ	5	regular	four	regular	five	regular	five	regular	five	ironic	five
ironic	3_20_R33PA93KTJPCNE	1	sarcastic	two	both	two	sarcastic	one	sarcastic	one	both	one
regular	23_17_R1X9ZLCZH5VMIE	2	regular	three	regular	three	regular	three	regular	three	regular	three
regular	10_4_R1NKKXR9EF3UD0	5	ironic	four	regular	four	regular	five	regular	five	regular	four
ironic	9_1_R2QR9Y1VYBHCI8	1	both	one	sarcastic	one	regular	one	regular	two	both	one
regular	37_16_RTIFUODH8Q88P	5	regular	five	regular	five	regular	four	regular	five	regular	five
regular	6_15_R31Q51ZUICUGFT	5	both	three	regular	four	regular	five	regular	five	both	four
ironic	48_10_RS9O7LG80S140	1	sarcastic	two	both	two	sarcastic	four	sarcastic	two	sarcastic	one
regular	9_3_R3ETDJECHUQ31R	4	regular	four	regular	three	regular	three	both	three	regular	three
regular	2_4_R1CY66TNX7N4RX	5	both	four	regular	five	regular	five	regular	five	regular	four
regular	23_1_R3DGPF3TTUEIOZ	5	ironic	two	regular	five	both	three	regular	four	regular	four
regular	8_8_R3Q9GJWFOTB6R0	5	regular	five	both	five	regular	five	regular	five	regular	five
regular	31_9_R1IZ827H39HPIR	5	regular	five	regular	five	regular	five	regular	five	regular	three
regular	5_8_RRA3GO3FNKK4H	5	regular	three	regular	five	regular	five	regular	three	regular	four
ironic	21_19_R2DRW6X3LFRVIO	1	sarcastic	one	regular	two	sarcastic	one	regular	one	ironic	four
regular	45_15_R2A9TJ7UAV3FA9	5	regular	five	regular	five	regular	five	regular	five	regular	four
regular	41_1_RSXX27ITTRAF1	5	ironic	four	regular	four	regular	four	regular	four	regular	four
regular	23_20_R3DCG242BA4XCI	5	regular	three	regular	three	regular	three	regular	three	both	three
regular	12_19_R3696UEZCDDUF7	5	regular	five	regular	five	regular	five	regular	five	regular	five
regular	23_9_R3LS1DXDFL665A	5	regular	three	regular	five	regular	five	regular	five	regular	five
regular	35_20_R10TFMLXY7E9OS	5	regular	four	regular	four	regular	five	regular	five	ironic	three
ironic	27_14_R2FHC3NHL0T8UJ	5	ironic	five	regular	one	both	five	both	two	sarcastic	two
ironic	39_1_R39ZFKP7TVWUB2	1	sarcastic	one	both	one	both	one	sarcastic	one	sarcastic	one
regular	276424_4_R3LAH6E4QNEKDC	5	regular	five	regular	five	regular	five	regular	five	regular	two
ironic	49_19_R3TP2YNW3X41D8	1	both	two	sarcastic	one			regular	one	sarcastic	one
ironic	48_5_R21A9WHOH6GAWU	1	sarcastic	two	regular	two	sarcastic	three	sarcastic	one	both	two
regular	24_6_RDRZLE5RKXR0D	5	ironic	four	regular	four	ironic	three	regular	five	regular	four
regular	40_1_RM1RD11NBOSZ3	5	regular	five	regular	five	regular	four	regular	four	regular	four
ironic	34_1_R2UXRVHKN4Y2GJ	1	regular	one	both	one	ironic	one	sarcastic	one	sarcastic	one
ironic	45_17_R2RHPEBF7R7VGL	1	both	one	regular	one	sarcastic	one	regular	one	sarcastic	one
regular	6_6_R3LH9B6CJLGOG	5	regular	five	regular	five	regular	five	regular	five	regular	five
regular	2_9_R2RYAAUJ7CA647	5	regular	four	regular	four	regular	four	regular	five	regular	four
ironic	39_8_R39IMEITQKZXV	5	sarcastic	four	both	one	regular	five	ironic	five	regular	five
regular	34_8_R7NH2BOT7G3PF	4	regular	five	regular	three	regular	four	regular	four	regular	four
ironic	27_18_R1UO8C8V2V3SLD	1			both	one	sarcastic	one	sarcastic	one	regular	two
ironic	40_8_R3OM4498WOIZ93	1	both	two	sarcastic	one	sarcastic	one	sarcastic	two	sarcastic	one
ironic	41_7_R1IAWTWQOR40AL	1	ironic	three	both	three	sarcastic	three	both	three	regular	three
regular	276425_7_RP9E2PCL3NGTF	5	regular	five	regular	three	regular	five	regular	five	regular	four
regular	35_13_R2DWGD3UIVWRUY	5	ironic	five	regular	five	regular	five	regular	five	regular	five
regular	1_5_R3OE69970ZTQ3T	5	regular	five	regular	five	regular	five	regular	five	regular	five
ironic	6_13_R18VPDXVRWAEBZ	3	ironic	one	sarcastic	two	regular	one	regular	three	ironic	three
ironic	24_14_R1K30QLIHSWCC3	1	regular	four	sarcastic	one	both	two	regular	one	both	one
ironic	23_19_R12ESKRX75V586	1	ironic	two	both	five	sarcastic	one	sarcastic	one	sarcastic	one
regular	13_15_R1AQ3BOFAX25S	5	regular	five	both	two	regular	four	regular	five	regular	five
ironic	8_10_R3KTGJLDTEWIGV	5	ironic	four	regular	four	regular	three	both	one	both	three
regular	44_3_R1GYUI87MILKAM	5	regular	five	regular	four	sarcastic	two	regular	five	regular	five
ironic	50_9_R19SWXCKT8OA27	5	sarcastic	five	sarcastic	one	sarcastic	two	sarcastic	one	both	one
ironic	14_16_R22AUBQHPWLT9U	5	ironic	four	regular	five	sarcastic	three	sarcastic	four	both	three
regular	46_8_R3F68L7K74NT2B	3	regular	three	regular	one	regular	three	regular	three	regular	three
ironic	19_14_R31PWLHU285R9D	2	regular	two	regular	one	both	three	both	one	sarcastic	two
regular	9_7_R86QTGV8EWK93	5	regular	four	regular	four	regular	five	regular	three		
regular	50_10_RTL9BQ6P983AF	5	regular	five	regular	five	regular	five	regular	five	regular	five
regular	38_17_R37IKV62KVLQB0	4	regular	four	regular	four	regular	three	regular	five	regular	five
ironic	33_4_RY879UHG574C7	5	both	five	sarcastic	four			sarcastic	one	both	five
regular	40_14_R1HO44FD6VYEXY	5	regular	two	regular	five	regular	five	regular	five	regular	four
regular	30_16_RAIHGMCIK77MP	5	regular	five	ironic	five	regular	five	regular	five	regular	three
regular	27_17_RVODNLR6RVDS5	1	regular	one	regular	one	regular	one	sarcastic	one	ironic	one
regular	2_16_R3LKBHQYYG3P7I	5	regular	five	regular	five	both	one	regular	five	regular	five
regular	36_13_R3IRVEEQAT85PE	5	regular	five	regular	five	regular	four	regular	five	regular	five
regular	16_13_R16PBXL91S1HLK	5	regular	five	regular	five	regular	five	regular	four	regular	two
regular	19_3_RVCE8OLDQ8Q1T	5	regular	five	regular	three	regular	five	regular	five	both	two
regular	42_8_RG6FME7C5TUN	5	regular	four	regular	four	regular	five	regular	four	regular	five
ironic	276425_11_R9OGOZLOROD7F	5	both	four	sarcastic	two	ironic	five	sarcastic	four	ironic	five
ironic	14_6_R29BIVGI18POGZ	5	sarcastic	four	both	five	regular	four	sarcastic	three	regular	four
regular	12_14_REVFMK9V3SE3C	1	regular	one	both	two	regular	one	regular	two	regular	one
regular	18_2_R2CSX5X1Q21T0X	5	regular	five	regular	five	regular	five	regular	four	regular	five
ironic	41_8_R1UKHGFAMYVR6L	1	regular	one	regular	two	sarcastic	one	sarcastic	one	both	one
regular	7_15_RTHPO5C4E83WK	1	regular	one			both	one	regular	one	regular	one
regular	41_12_R18HY4CFRNXZL6	5	regular	five	regular	five	regular	four	regular	five	regular	five
ironic	51_8_R1PLYO2Z4XNNUL	5	ironic	three	ironic	five	both	one	both	five	ironic	five
regular	43_18_R2MH6V04PWHBNM	5	regular	five	regular	three	regular	five	regular	five	regular	five
ironic	8_9_RP3G854HSUU3U	5	regular	three	ironic	two	both	one	both	two	both	one
ironic	6_4_R1ATB6PSQ3HNTF	1	ironic	one	sarcastic	two	sarcastic	one	regular	one	sarcastic	two
regular	30_18_RW82B1HIOP15I	5	regular	five	regular	five	regular	three	regular	five	both	three
ironic	35_13_RGX5CPTZSVYLC	4	both	one	ironic	four	regular	five	both	four	sarcastic	four
regular	15_3_RFC37HBXJF2LP	5	regular	five	regular	five	regular	five	regular	four	regular	five
regular	7_1_R2P6YHW4N5X3Y0	4	regular	three	regular	five	regular	four	regular	five	regular	four
regular	27_5_R3NR03A3JFBCFL	4	regular	five	regular	five	regular	four	regular	five	regular	five
regular	24_4_RSYW4IPVQYVK9	5	regular	five	regular	four	regular	four	regular	four	both	one
regular	9_4_R32I1YPRLG6WJV	5	regular	five	sarcastic	three	regular	five	regular	five	regular	five
regular	38_3_R23OZ2RK6PVK08	5	regular	four	regular	five	ironic	one	regular	four	regular	four
regular	26_17_R2U5I4272UGH23	5	regular	five	regular	five	regular	five	regular	five	regular	five
regular	7_4_RW2JQSKIFND8Q	5	regular	three	sarcastic	five	regular	five	ironic	four	regular	five
ironic	12_9_R3ADWLQ4AH7GNZ	4	sarcastic	five	both	three	both	five	sarcastic	five	regular	four
regular	10_14_R3GY9D44XU01OI	2	regular	five	regular	one	sarcastic	four	regular	two	regular	four
ironic	29_18_R1WLZAH4TAPM55	2	ironic	one	both	one	sarcastic	one	ironic	one	sarcastic	two
ironic	37_5_R2UI4Z35NOUOEZ	1	sarcastic	one	both	one	both	one	regular	one	regular	two
ironic	15_10_R2LI7PF47BH0HF	1	sarcastic	one	sarcastic	one	regular	one	regular	one	both	one
regular	42_11_RI5VGLPV9HRQG	5	ironic	five	regular	five	regular	five	regular	five	regular	five
regular	23_13_R29EKQDD1KCLTU	5	regular	four	both	four	regular	four	regular	five	regular	four
regular	9_14_RRSI97OZTY5K7	4	regular	three	regular	three	regular	three	sarcastic	two	regular	four
regular	36_11_R2C2UY01XY52S	5	regular	four	regular	five	regular	five	regular	five	regular	five
regular	25_10_R1S4G9LSFXLM1P	5	regular	five	regular	five	regular	five	sarcastic	three	regular	five
ironic	51_2_R1JZM989AKI865	1	both	one	both	one	regular	one	sarcastic	one	sarcastic	one
regular	26_19_ROI942EK5WT00	5	regular	four	regular	five	regular	five	regular	five	regular	five
regular	51_14_R28UOP4VCX14XO	5	regular	five	regular	five	regular	five	regular	five	regular	five
ironic	15_5_R3UPN0Y95FJ8E	1	regular	one			both	two	both	two	both	two
regular	29_3_R3B83OCIUYY6DE	5	regular	five	regular	five	regular	five	regular	five	regular	five
regular	47_6_R4UV9LPOL5WTE	5	regular	three	regular	five	regular	five	regular	one	regular	five
ironic	28_16_RPDS2QMF2SDHG	5	sarcastic	one	ironic	three	ironic	five	both	four	ironic	five
ironic	28_18_R1ZDWC7Y3FLMWO	1	both	three	ironic	one	both	one	both	one	sarcastic	one
ironic	13_1_R2IK5C71ND7M5B	4	ironic	three	ironic	five	sarcastic	five	sarcastic	two	sarcastic	three
regular	47_8_RF33O2JORIQWV	5	regular	five	regular	four	regular	five	regular	five	regular	five
regular	32_20_R14HWBAKDUE0ID	3	both	four	regular	four	regular	four	regular	three	regular	three
regular	20_12_RZSSKPPRPJT6O	5	regular	five	regular	five	regular	five	regular	five	regular	five
regular	41_14_R2UQHEKGYHVJ9T	5	regular	four	regular	five	ironic	five	regular	five	regular	four
regular	30_8_R69I7USOHH57W	5	regular	four	regular	four	regular	five	ironic	four	regular	three
ironic	51_15_R11FXBR4VQIVL4	1	sarcastic	one	ironic	one	regular	one	regular	one	sarcastic	one
regular	48_13_RJUQTGB14673K	5	regular	four	sarcastic	two	regular	five	regular	five	regular	five
regular	29_9_R1X7MUT4QTAN4A	5	regular	five	regular	five	regular	five	regular	three	regular	five
regular	34_6_R2PCIAGT8AVU67	4	regular	three	regular	three			regular	three	regular	three
regular	28_2_R3QVVMUFRZN9Z9	5	regular	four	regular	five	regular	five	regular	three	regular	five
ironic	14_17_R1T1APOY22KKN6	1	regular	one	sarcastic	two	both	two	sarcastic	one	ironic	four
ironic	276423_2_R1PAAQN1HJKVQM	5	sarcastic	two	sarcastic	two	sarcastic	two	both	four	regular	five
regular	6_14_R1GVEI41Q75EYH	5	regular	four	regular	five	regular	five	regular	four	ironic	four
regular	36_9_R1V3CD3WQFT5S7	5	regular	four	regular	three	regular	five	regular	five	both	three
regular	7_6_R5YA6HVCMI8VW	2	regular	one	regular	one	regular	two	both	three	sarcastic	three
ironic	40_10_R31XVY21UMDW1C	1	regular	one	regular	one	both	one	sarcastic	one	sarcastic	two
ironic	31_13_RJPVHJSBDZJZ8	1	sarcastic	two	sarcastic	three	sarcastic	one	sarcastic	one	both	one
ironic	31_16_R6XV5Q1ZZZVIP	3	regular	three	both	three	both	three	sarcastic	three	regular	three
regular	17_12_RV9DH9F11AX3V	5	regular	four	regular	four	ironic	four	both	two	regular	four
regular	12_2_R3K9KTK1FUKF70	5	regular	four	regular	five	regular	three	regular	five	regular	five
regular	51_8_R19ELW7W9HH4SE	5	regular	five	regular	five	regular	five	regular	five	both	three
ironic	2_10_R3QR3AC2WXWHIT	4	regular	five	ironic	five	both	two	both	two	regular	five
ironic	11_6_R29F9YPMNXJFDQ	1	regular	one	both	three	regular	one	ironic	one	both	four
ironic	22_9_R39O2YE1B2TS7	5	sarcastic	two	regular	five	sarcastic	two	sarcastic	five	ironic	four
regular	22_14_RFNUF3FWK4O8Q	5	regular	five	regular	five	regular	five	ironic	five	regular	four
ironic	5_18_R39SS2BIYR0KNL	1	regular	one	both	three	both	five	sarcastic	two	regular	three
regular	22_10_R1K5VKGKOXHENV	5	regular	four	regular	four	regular	four	ironic	four	regular	four
ironic	32_4_R3NP3ZDYBR5FQM	5	ironic	five	sarcastic	five	regular	three	both	five	regular	four
ironic	31_1_R3UOCWSY71IDHB	5	regular	four	regular	five	sarcastic	four	ironic	five	ironic	four
regular	37_6_R26C8EQ8R321S9	5	regular	four	regular	five	regular	five	regular	four	ironic	two
regular	41_17_R1CHGE0K90QSUW	5	regular	three	regular	five	regular	five	ironic	five	regular	five
regular	51_7_R2B5XGBGXNFED8	5	regular	three	ironic	four	sarcastic	three	regular	four	regular	two
ironic	4_11_R1S2WXJO0SIA1K	1	sarcastic	two	both	one	regular	three	sarcastic	one	sarcastic	one
regular	48_10_R2SVSNWGH41B65	5	regular	five	ironic	five	regular	five	both	five	regular	five
regular	35_11_R18ZG5KD8QCG3I	5	regular	five	regular	five	regular	five	regular	five	regular	five
ironic	51_13_RO8R2WG3YKOTG	1	regular	one	sarcastic	two	sarcastic	two	regular	two	both	two
regular	38_15_R1ERNL8CBA0VZV	5	both	two	regular	four	regular	four	regular	four	regular	three
regular	44_18_RJQWOX5NV6YZ6	5	regular	five	regular	five	regular	five	regular	five	regular	three
ironic	27_3_R32D6SSBZJU2ZO	1	sarcastic	one	sarcastic	one	regular	one	regular	three	both	two
regular	34_16_RBWX8CZRNP1LX	5	regular	five	both	four	regular	four	regular	five	regular	five
regular	28_18_R1R49Z425LSE2V	1	regular	two	sarcastic	one	regular	two	regular	one	sarcastic	one
regular	20_17_R19476HZXX9IYZ	5	regular	five	regular	three	regular	five	regular	four	regular	three
regular	17_17_RG4BCQ0NJAPP7	5	regular	five	regular	four	regular	five	regular	five	regular	five
regular	5_6_R2M1KYFY69IOUC	4	regular	three	regular	three	regular	three	regular	four	regular	four
ironic	28_10_R1IATHJOACP720	1	sarcastic	one	regular	one	sarcastic	two	both	one	regular	three
regular	33_8_RB4OFYY55W2KV	5	regular	five	regular	five	regular	four	regular	four	both	four
ironic	33_3_R2VT7XQ4UTN0HO	1	sarcastic	two	sarcastic	two	sarcastic	two	regular	three	regular	three
ironic	5_5_R2XKMDXZHQ26YX	5	both	two	ironic	five	sarcastic	five	ironic	three	sarcastic	three
regular	49_1_R1UPK06A6O247U	5	regular	four	regular	four	regular	five	regular	four	regular	four
regular	4_4_R175GK64COU7VA	5	regular	five	regular	five	regular	five	regular	five	regular	five
regular	29_4_R1C3CLS0DUZV4B	5	regular	five	regular	three	regular	five	regular	four	regular	four
regular	276423_2_R2ZB4MJVHB19P2	5	regular	five	regular	five	regular	five	regular	four	regular	four
ironic	18_13_RPUNKIVBUJ332	1	both	two	sarcastic	one	regular	three	sarcastic	two	regular	two
regular	4_5_R3TY5TI3ZHH449	5	regular	five	regular	four	ironic	four	regular	five	regular	three
regular	7_9_R1Q2NVENGSQHW8	5	regular	five	regular	five	sarcastic	five	regular	four	regular	four
ironic	38_11_R3NUFQ1YR73NQA	1	sarcastic	one	sarcastic	one	sarcastic	one	sarcastic	one	regular	five
ironic	32_2_RJOX1FO2ICFAQ	1	both	two	regular	two	both	one	both	one	regular	two
regular	22_11_R3HIU1DFVMF9PC	5	regular	five	regular	five	ironic	four	regular	four	regular	three
regular	3_2_R3IGU0BNYTSUQ0	5	regular	four	regular	four	regular	four	regular	five	ironic	four
regular	36_18_R3GCB9AC0TC6NG	5	regular	five	regular	five	regular	four	regular	four	ironic	five
ironic	36_15_RVTV0B4EEFISD	2	ironic	one	sarcastic	one	regular	one	sarcastic	one	both	one
ironic	22_16_RKIAFJWXH2PY7	1	sarcastic	one	sarcastic	one	sarcastic	one	sarcastic	three	both	two
regular	23_3_R3BAK7LUCD9IDR	5	regular	five	regular	five	sarcastic	three	regular	three	regular	four
regular	16_10_R1VKVR1DKNJP7H	5	regular	four	regular	five	regular	five	regular	five	regular	four
regular	8_18_R18NR1C20ZW8H4	1	regular	one	sarcastic	one	regular	three	regular	two	regular	two
ironic	11_7_R3A670QYE1WG3T	1	ironic	two	ironic	three	regular	one	ironic	three	regular	one
regular	42_10_R3R74B0ET6JG8X	5	regular	five	regular	one	regular	five	regular	four	regular	five
ironic	43_20_RDTLJVXRF3RI8	5	both	two	ironic	one	sarcastic	three	sarcastic	three	regular	five
ironic	40_3_R3G327TZJH68QK	2	regular	three	sarcastic	three	both	two	regular	three	both	one
regular	17_1_RIJ6SMD51D61J	4	regular	three	regular	three	ironic	three	sarcastic	three	regular	three
regular	21_2_R2K2LPEAN3MYN3	5	regular	two	regular	three	regular	three	regular	four	sarcastic	three
ironic	38_9_R1SB3WSQOUEZHD	5	regular	five	sarcastic	four	sarcastic	four	sarcastic	two	regular	four
ironic	3_12_R1R9PMEUI1157N	1	sarcastic	one	regular	one	ironic	one	sarcastic	four	ironic	one
regular	276423_4_RXAJ3ZDTQB1M8	4	regular	four	regular	four	regular	four	both	three	regular	four
regular	27_2_R37718XE6R8RW5	5	regular	four	regular	five	regular	five	regular	five	regular	five
regular	6_1_R1Q7PMULEUWDTR	4	regular	five	ironic	four	regular	four	regular	four	regular	four
ironic	34_10_R2HYEFMSKK0K7H	1	both	two	sarcastic	one	sarcastic	one	regular	one	both	one
ironic	15_17_R6NYH235LG14C	1	both	one	sarcastic	one	sarcastic	three	both	one	sarcastic	one
ironic	15_8_RRSY2AZ0HW0E9	1	both	one	both	five	both	one	regular	one		
regular	21_5_R2R40WC6C38DVQ	5	regular	four	ironic	five	regular	four	regular	five	regular	five
regular	4_18_R1HSI3X8XF2U3G	5	regular	three	both	two	ironic	five	regular	five	regular	four
ironic	42_16_RPORPWO932O8R	1	regular	one	both	three	sarcastic	one	sarcastic	one	regular	two
regular	28_10_R3TOQXRSYSFUN	1	regular	one	regular	one	ironic	three	regular	one	ironic	one
regular	30_1_R2RCCMEBNA744P	5	regular	five	regular	five	regular	four	regular	four	regular	four
regular	46_3_R6AW9X81D0QRB	3	regular	two	sarcastic	three	regular	three	regular	three	regular	four
regular	6_12_R3FXIK7W7YP7OX	5	regular	five	regular	five	regular	five	regular	five	regular	four
ironic	8_2_RLWU0CCMZV2BR	1	regular	two	sarcastic	one	sarcastic	two	regular	one	sarcastic	one
regular	24_13_R2ZCPYXIWFNJ1O	5	regular	five	ironic	four	regular	five	regular	three	regular	five
ironic	6_11_R3U5QR00VSNS3Q	5	regular	one	regular	five	sarcastic	three	sarcastic	five	ironic	three
regular	20_14_RKN6H3IRB2JVM	5	regular	four	regular	five	regular	one	regular	five	regular	five
regular	46_15_R2O6Z5V4R0B9L	5	regular	five	regular	four	regular	five	regular	five	regular	four
regular	26_18_R3RB3UCGTWPTOF	5	regular	four	regular	five	regular	five	regular	five	both	five
regular	6_7_R1WAU1HW4ZS5E2	2	regular	five	sarcastic	four	regular	five	regular	five	regular	four
regular	32_8_R133M2U0NRBJYX	5	regular	five	regular	five	regular	two	regular	four	regular	five
ironic	37_18_R34YE7A2PTL3QN	1	sarcastic	two	both	one	regular	one	regular	one	both	one
ironic	30_2_RMAE85IN28CGB	1	sarcastic	one	sarcastic	two	regular	one	both	one	regular	one
regular	16_18_R19MJ7OE16PRD8	5	regular	five	regular	three	regular	three			regular	four
regular	3_14_RGU3LVENXCZ07	5	regular	four	regular	four	regular	five	regular	four	regular	four
regular	31_14_R3EE5HK01X1BSY	1	regular	one	sarcastic	one	regular	one	regular	one	sarcastic	one
ironic	3_1_RXPT8W9PZ4U1S	5	sarcastic	one	both	one	regular	one	both	one	ironic	two
ironic	21_14_RHDD7HERRU63S	1	sarcastic	two	both	one	sarcastic	one	sarcastic	one	both	two
regular	30_6_R3JCKOSOR7AJCQ	5	regular	five	regular	five	regular	five	ironic	five	regular	four
ironic	2_13_R23CV1SFGOT7Y6	5	sarcastic	one	sarcastic	one	sarcastic	three	both	five	regular	three
regular	34_11_R33545PT2IGAL5	4	regular	four	regular	four	regular	five	sarcastic	three		
ironic	48_9_R2W9YE93X1C7F0	5	regular	five	regular	five	ironic	five	sarcastic	five	sarcastic	four
